City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,San Patricio,US,2022-05-07 20:29:22,28.017,-97.5169,99.32,38,0,14.88
181,Malanje,AO,2022-05-07 20:29:23,-9.5402,16.341,67.46,76,10,2.33
182,Codrington,AU,2022-05-07 20:29:23,-38.2667,141.9667,53.38,83,73,8.59
183,Lexington,US,2022-05-07 20:28:43,37.9887,-84.4777,56.52,88,100,10.36
184,Silver City,US,2022-05-07 20:29:24,32.7701,-108.2803,85.91,8,0,25.32
185,Teahupoo,PF,2022-05-07 20:29:25,-17.8333,-149.2667,76.96,77,8,1.72
186,Alice Town,BS,2022-05-07 20:29:25,25.7167,-79.3,81.66,74,3,19.55
187,Salcininkai,LT,2022-05-07 20:29:26,54.3,25.3833,57.29,83,96,5.41
188,Carmen,MX,2022-05-07 20:29:26,18.6333,-91.8333,95.04,59,0,11.5
189,Pouebo,NC,2022-05-07 20:29:27,-20.4,164.5667,73.06,79,58,15.41
190,Buchanan,LR,2022-05-07 20:29:27,5.8808,-10.0467,80.42,85,86,9.78
191,Novyy Karachay,RU,2022-05-07 20:29:28,43.8208,41.9032,40.91,98,100,1.45
192,Kinkala,CG,2022-05-07 20:29:28,-4.3614,14.7644,72.52,94,100,2.77
193,Hay River,CA,2022-05-07 20:29:29,60.8156,-115.7999,33.78,100,100,16.11
194,Alofi,NU,2022-05-07 20:29:29,-19.0595,-169.9187,76.89,94,75,10.36
195,Rabo De Peixe,PT,2022-05-07 20:29:30,37.8,-25.5833,63.91,88,20,4.61
196,Anajatuba,BR,2022-05-07 20:29:30,-3.2644,-44.6197,78.94,91,100,2.33
197,Saint-Joseph,RE,2022-05-07 20:29:31,-21.3667,55.6167,71.98,79,28,10.27
198,Glyadyanskoye,RU,2022-05-07 20:29:31,54.9075,65.0883,43.45,41,4,7.76
199,Constitucion,CL,2022-05-07 20:29:32,-35.3333,-72.4167,60.76,65,3,13.09
200,Ariquemes,BR,2022-05-07 20:29:32,-9.9133,-63.0408,86.41,60,18,4.92
201,Saint-Augustin,CA,2022-05-07 20:29:33,51.226,-58.6502,41.52,44,100,15.01
202,George,ZA,2022-05-07 20:29:33,-33.963,22.4617,54.95,94,100,5.75
203,Sorland,NO,2022-05-07 20:29:34,67.667,12.6934,37.36,58,95,23.98
204,Moose Factory,CA,2022-05-07 20:29:34,51.2585,-80.6094,50.0,43,0,16.11
205,Salinas,US,2022-05-07 20:29:35,36.6777,-121.6555,74.98,61,20,16.11
206,Hanzhong,CN,2022-05-07 20:29:35,33.0728,107.0303,62.76,79,2,3.76
207,Shelton,US,2022-05-07 20:27:32,41.3165,-73.0932,53.87,62,100,18.41
