City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Grants Pass,US,75.16,scattered clouds,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
253,Catuday,PH,79.61,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
257,Sao Filipe,CV,75.52,scattered clouds,14.8961,-24.4956,Hotel Xaguate
261,Ocosingo,MX,79.7,broken clouds,17.0667,-92.25,Chabek lumil
270,Trincomalee,LK,81.23,overcast clouds,8.5711,81.2335,Welcombe Hotel
280,Awjilah,LY,78.93,clear sky,29.1081,21.2869,المنزل
291,Cozumel,MX,82.94,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
295,San Andres,CO,81.41,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
297,Bengkulu,ID,75.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
298,Nicoya,CR,80.42,heavy intensity rain,10.1483,-85.452,Las Cabinas Del Sueño
299,Waingapu,ID,78.96,clear sky,-9.6567,120.2641,Pondok Wisata Elim
301,Nioro,GM,82.15,scattered clouds,13.35,-15.75,
306,Bundaberg,AU,76.21,overcast clouds,-24.85,152.35,Takalvan Motel
308,San Francisco,US,76.46,broken clouds,37.7749,-122.4194,Edwardian Hotel
309,Ejutla De Crespo,MX,86.95,few clouds,16.5667,-96.7333,Hotel en ejutla
310,Saint-Georges,GD,80.35,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
315,Yenagoa,NG,77.31,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
323,Dalbandin,PK,76.98,clear sky,28.8947,64.4101,Sanjrani House
327,Sai Buri,TH,77.97,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
331,Luba,GQ,80.96,light rain,3.4568,8.5547,
333,Kadhan,PK,82.2,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
339,Itarema,BR,77.67,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
342,La Palma,US,85.82,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
